neighborhood,population
el Camp d'en Grassot i Gracia Nova,1735
el Camp d'en Grassot i Gracia Nova,1486
el Camp d'en Grassot i Gracia Nova,1267
el Camp d'en Grassot i Gracia Nova,984
el Camp d'en Grassot i Gracia Nova,1867
el Camp d'en Grassot i Gracia Nova,1233
el Baix Guinardo,1577
el Baix Guinardo,1150
el Baix Guinardo,1308
el Baix Guinardo,1534
el Baix Guinardo,1433
el Baix Guinardo,966
el Baix Guinardo,1396
el Baix Guinardo,1429
el Baix Guinardo,1184
el Baix Guinardo,1366
el Baix Guinardo,1143
el Baix Guinardo,1556
el Baix Guinardo,1208
el Baix Guinardo,877
el Baix Guinardo,1427
el Baix Guinardo,1365
el Baix Guinardo,1731
el Baix Guinardo,1692
el Baix Guinardo,1500
Can Baro,1740
Can Baro,1062
Can Baro,1159
Can Baro,1305
Can Baro,1492
Can Baro,1455
Can Baro,1107
el Guinardo,2110
el Guinardo,1472
el Guinardo,1291
el Guinardo,1397
el Guinardo,1597
el Guinardo,1447
el Guinardo,1444
el Guinardo,1840
el Guinardo,1784
el Guinardo,1397
el Guinardo,1485
el Guinardo,1256
el Guinardo,1633
el Guinardo,1482
el Guinardo,1366
el Guinardo,1512
el Guinardo,1415
el Guinardo,1321
el Guinardo,1613
el Guinardo,1397
el Guinardo,1493
el Guinardo,1334
el Guinardo,1237
el Guinardo,1216
el Guinardo,1786
la Font d'en Fargues,1256
la Font d'en Fargues,1457
la Font d'en Fargues,1592
la Font d'en Fargues,1188
la Font d'en Fargues,1203
la Font d'en Fargues,1444
la Font d'en Fargues,1365
el Carmel,1335
el Carmel,1854
el Carmel,1210
el Carmel,1380
el Carmel,1460
el Carmel,1723
el Carmel,1784
el Carmel,1811
el Carmel,1581
el Carmel,1337
el Carmel,1468
el Carmel,1471
el Carmel,1357
el Carmel,1404
el Carmel,1145
el Carmel,1716
el Carmel,1231
el Carmel,1403
el Carmel,1358
el Carmel,1409
el Carmel,1469
el Carmel,1818
la Teixonera,1988
la Teixonera,1286
la Teixonera,1383
la Teixonera,1369
la Teixonera,1253
la Teixonera,1458
la Teixonera,1597
la Teixonera,1710
Sant Genis dels Agudells,1348
Sant Genis dels Agudells,1481
Sant Genis dels Agudells,1217
Sant Genis dels Agudells,1571
Sant Genis dels Agudells,1768
Montbau,1256
Montbau,1556
Montbau,1440
Montbau,862
la Vall d'Hebron,2187
la Vall d'Hebron,1036
la Vall d'Hebron,1213
la Vall d'Hebron,1496
la Clota,698
Horta,1583
Horta,1555
Horta,1035
Horta,1176
Horta,1181
Horta,1235
Horta,1647
Horta,1030
Horta,893
Horta,1303
Horta,1198
Horta,1189
Horta,1060
Horta,1517
Horta,2773
Horta,1242
Horta,1292
Horta,1256
Horta,1157
Horta,1313
Horta,1420
Vilapicina i la Torre Llobeta,1259
Vilapicina i la Torre Llobeta,1251
Vilapicina i la Torre Llobeta,1196
Vilapicina i la Torre Llobeta,1421
Vilapicina i la Torre Llobeta,1154
Vilapicina i la Torre Llobeta,1617
Vilapicina i la Torre Llobeta,1190
Vilapicina i la Torre Llobeta,1622
Vilapicina i la Torre Llobeta,1793
Vilapicina i la Torre Llobeta,1087
Vilapicina i la Torre Llobeta,1177
Vilapicina i la Torre Llobeta,1317
Vilapicina i la Torre Llobeta,1167
Vilapicina i la Torre Llobeta,1298
Vilapicina i la Torre Llobeta,1466
Vilapicina i la Torre Llobeta,1133
Vilapicina i la Torre Llobeta,1383
Vilapicina i la Torre Llobeta,1513
Vilapicina i la Torre Llobeta,1831
Porta,1390
Porta,1465
Porta,1252
Porta,1394
Porta,1362
Porta,1189
Porta,1384
Porta,1408
Porta,1096
Porta,1501
Porta,1502
Porta,1298
Porta,1292
Porta,1487
Porta,1246
Porta,4435
Porta,1534
Porta,1561
el Turo de la Peira,1568
el Turo de la Peira,1564
el Turo de la Peira,1908
el Turo de la Peira,2646
el Turo de la Peira,1240
el Turo de la Peira,1137
el Turo de la Peira,1299
el Turo de la Peira,1781
el Turo de la Peira,1418
el Turo de la Peira,1625
Can Peguera,978
Can Peguera,1237
la Guineueta,1385
la Guineueta,1343
la Guineueta,906
la Guineueta,1138
la Guineueta,1671
la Guineueta,1822
la Guineueta,1572
la Guineueta,1488
la Guineueta,1331
la Guineueta,1620
la Guineueta,991
Canyelles,1177
Canyelles,1642
Canyelles,1147
Canyelles,1067
Canyelles,1780
les Roquetes,1796
les Roquetes,1648
les Roquetes,1792
les Roquetes,1973
les Roquetes,1579
les Roquetes,1486
les Roquetes,1757
les Roquetes,1211
les Roquetes,1758
les Roquetes,1563
Verdun,1929
Verdun,1620
Verdun,1447
Verdun,1563
Verdun,1447
Verdun,1561
Verdun,1691
Verdun,1607
la Prosperitat,1319
la Prosperitat,1147
la Prosperitat,1468
la Prosperitat,1714
la Prosperitat,1257
la Prosperitat,1281
la Prosperitat,1241
la Prosperitat,1209
la Prosperitat,1203
la Prosperitat,997
la Prosperitat,1276
la Prosperitat,1463
la Prosperitat,1068
la Prosperitat,1544
la Prosperitat,1362
la Prosperitat,1267
la Prosperitat,1465
la Prosperitat,1297
la Prosperitat,1748
la Prosperitat,1542
la Trinitat Nova,1680
la Trinitat Nova,1260
la Trinitat Nova,1484
la Trinitat Nova,1262
la Trinitat Nova,1942
Torre Baro,1942
Torre Baro,981
Ciutat Meridiana,2058
Ciutat Meridiana,1716
Ciutat Meridiana,1750
Ciutat Meridiana,1800
Ciutat Meridiana,2049
Ciutat Meridiana,1779
Vallbona,1401
la Trinitat Vella,2771
la Trinitat Vella,2164
la Trinitat Vella,2197
la Trinitat Vella,1721
la Trinitat Vella,1660
Baro de Viver,1277
Baro de Viver,1376
el Bon Pastor,1866
el Bon Pastor,1442
el Bon Pastor,1804
el Bon Pastor,1725
el Bon Pastor,2041
el Bon Pastor,3008
el Bon Pastor,1844
Sant Andreu,1336
Sant Andreu,1527
Sant Andreu,1492
Sant Andreu,2709
Sant Andreu,1153
Sant Andreu,1378
Sant Andreu,1278
Sant Andreu,1240
Sant Andreu,1177
Sant Andreu,1206
Sant Andreu,1524
Sant Andreu,1301
Sant Andreu,1599
Sant Andreu,1116
Sant Andreu,1451
Sant Andreu,1192
Sant Andreu,2211
Sant Andreu,3212
Sant Andreu,1415
Sant Andreu,1602
Sant Andreu,1401
Sant Andreu,1574
Sant Andreu,1762
Sant Andreu,1536
Sant Andreu,1586
Sant Andreu,1372
Sant Andreu,1260
Sant Andreu,1329
Sant Andreu,1492
Sant Andreu,1426
Sant Andreu,1323
Sant Andreu,1620
Sant Andreu,1379
Sant Andreu,1334
Sant Andreu,1533
Sant Andreu,1252
Sant Andreu,1214
Sant Andreu,1606
Sant Andreu,1107
la Sagrera,1740
la Sagrera,1157
la Sagrera,1656
la Sagrera,1522
la Sagrera,1397
la Sagrera,1340
la Sagrera,1266
la Sagrera,1643
la Sagrera,1359
la Sagrera,1165
la Sagrera,1163
la Sagrera,2091
la Sagrera,1443
la Sagrera,1534
la Sagrera,1553
la Sagrera,913
la Sagrera,1732
la Sagrera,1920
la Sagrera,1461
la Sagrera,1513
el Congres i els Indians,1678
el Congres i els Indians,1566
el Congres i els Indians,1469
el Congres i els Indians,1635
el Congres i els Indians,1443
el Congres i els Indians,1644
el Congres i els Indians,1346
el Congres i els Indians,1738
el Congres i els Indians,2030
Navas,1594
Navas,1749
Navas,1813
Navas,1452
Navas,1301
Navas,1909
Navas,1527
Navas,1607
Navas,1900
Navas,1933
Navas,1306
Navas,2053
Navas,2155
el Camp de l'Arpa del Clot,1626
el Camp de l'Arpa del Clot,1775
el Camp de l'Arpa del Clot,1574
el Camp de l'Arpa del Clot,1580
el Camp de l'Arpa del Clot,1675
el Camp de l'Arpa del Clot,1862
el Camp de l'Arpa del Clot,1323
el Camp de l'Arpa del Clot,1759
el Camp de l'Arpa del Clot,1617
el Camp de l'Arpa del Clot,1745
el Camp de l'Arpa del Clot,1188
el Camp de l'Arpa del Clot,1823
el Camp de l'Arpa del Clot,1406
el Camp de l'Arpa del Clot,1528
el Camp de l'Arpa del Clot,1934
el Camp de l'Arpa del Clot,1233
el Camp de l'Arpa del Clot,1682
el Camp de l'Arpa del Clot,1474
el Camp de l'Arpa del Clot,1571
el Camp de l'Arpa del Clot,1482
el Camp de l'Arpa del Clot,1369
el Camp de l'Arpa del Clot,1364
el Camp de l'Arpa del Clot,1435
el Camp de l'Arpa del Clot,1453
el Camp de l'Arpa del Clot,1360
el Clot,1527
el Clot,1482
el Clot,1812
el Clot,1420
el Clot,1751
el Clot,1537
el Clot,1383
el Clot,856
el Clot,1721
el Clot,1984
el Clot,1432
el Clot,1043
el Clot,1829
el Clot,1601
el Clot,1877
el Clot,1828
el Clot,1676
el Parc i la Llacuna del Poblenou,3065
el Parc i la Llacuna del Poblenou,2422
el Parc i la Llacuna del Poblenou,1547
el Parc i la Llacuna del Poblenou,1321
el Parc i la Llacuna del Poblenou,1222
el Parc i la Llacuna del Poblenou,1766
el Parc i la Llacuna del Poblenou,1677
el Parc i la Llacuna del Poblenou,1321
el Parc i la Llacuna del Poblenou,1573
la Vila Olimpica del Poblenou,1630
la Vila Olimpica del Poblenou,2441
la Vila Olimpica del Poblenou,1742
la Vila Olimpica del Poblenou,958
la Vila Olimpica del Poblenou,2624
el Poblenou,1926
el Poblenou,1452
el Poblenou,1138
el Poblenou,1780
el Poblenou,1678
el Poblenou,1761
el Poblenou,1533
el Poblenou,1173
el Poblenou,1702
el Poblenou,1577
el Poblenou,2104
el Poblenou,1895
el Poblenou,1676
el Poblenou,2771
el Poblenou,1663
el Poblenou,1841
el Poblenou,2021
el Poblenou,1475
el Poblenou,1667
el Poblenou,1578
Diagonal Mar i el Front Maritim del Poblenou,2252
Diagonal Mar i el Front Maritim del Poblenou,1329
Diagonal Mar i el Front Maritim del Poblenou,1617
Diagonal Mar i el Front Maritim del Poblenou,1870
Diagonal Mar i el Front Maritim del Poblenou,2442
Diagonal Mar i el Front Maritim del Poblenou,1756
Diagonal Mar i el Front Maritim del Poblenou,2270
el Besos i el Maresme,2144
el Besos i el Maresme,1969
el Besos i el Maresme,2297
el Besos i el Maresme,1672
el Besos i el Maresme,2120
el Besos i el Maresme,1989
el Besos i el Maresme,1879
el Besos i el Maresme,1674
el Besos i el Maresme,4352
el Besos i el Maresme,1514
el Besos i el Maresme,1997
el Besos i el Maresme,1459
el Besos i el Maresme,1050
Provençals del Poblenou,3059
Provençals del Poblenou,1291
Provençals del Poblenou,1633
Provençals del Poblenou,1581
Provençals del Poblenou,1778
Provençals del Poblenou,1153
Provençals del Poblenou,1707
Provençals del Poblenou,1689
Provençals del Poblenou,2603
Provençals del Poblenou,2176
Provençals del Poblenou,1591
Provençals del Poblenou,924
Sant Marti de Provençals,2195
Sant Marti de Provençals,1017
Sant Marti de Provençals,1530
Sant Marti de Provençals,1312
Sant Marti de Provençals,1668
Sant Marti de Provençals,1714
Sant Marti de Provençals,1315
Sant Marti de Provençals,1537
Sant Marti de Provençals,1184
Sant Marti de Provençals,1500
Sant Marti de Provençals,1408
Sant Marti de Provençals,1874
Sant Marti de Provençals,1274
Sant Marti de Provençals,994
Sant Marti de Provençals,1157
Sant Marti de Provençals,1465
Sant Marti de Provençals,1595
Sant Marti de Provençals,1490
la Verneda i la Pau,1349
la Verneda i la Pau,1110
la Verneda i la Pau,1090
la Verneda i la Pau,1005
la Verneda i la Pau,1017
la Verneda i la Pau,1586
la Verneda i la Pau,1157
la Verneda i la Pau,1202
la Verneda i la Pau,1114
la Verneda i la Pau,1260
la Verneda i la Pau,1709
la Verneda i la Pau,1559
la Verneda i la Pau,1238
la Verneda i la Pau,1370
la Verneda i la Pau,1583
la Verneda i la Pau,1599
la Verneda i la Pau,1713
la Verneda i la Pau,1671
la Verneda i la Pau,1117
la Verneda i la Pau,1622
la Verneda i la Pau,1727
